row_id,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value
0,0.05682096257805824,0,,,,,,,,,
1,0.01995687000453472,0,,,,,,,,,
2,0.03941797465085983,0,,,,,,,,,
3,0.011165130883455276,0,,,,,,,,,
4,0.017640165984630585,0,,,,,,,,,
5,0.10375838726758957,0,,,,,,,,,
6,0.036535829305648804,0,,,,,,,,,
7,0.01737779751420021,0,,,,,,,,,
8,0.0010622593108564615,0,---,duration,'57',--,contact,'unknown',--,month,'may'
9,0.07630077749490738,0,,,,,,,,,
10,0.012982808984816074,0,,,,,,,,,
11,0.021256348118185997,0,,,,,,,,,
12,0.06681142002344131,0,,,,,,,,,
13,0.6788522601127625,1,+++,age,'20',++,day,'30',++,duration,'261'
14,0.00883562583476305,0,,,,,,,,,
15,0.019527802243828773,0,,,,,,,,,
16,0.10086147487163544,0,,,,,,,,,
17,0.051037002354860306,0,,,,,,,,,
18,0.018815338611602783,0,,,,,,,,,
19,0.01995588093996048,0,,,,,,,,,
20,0.03680437058210373,0,,,,,,,,,
21,0.03122016228735447,0,,,,,,,,,
22,0.008212225511670113,0,,,,,,,,,
23,0.007139009423553944,0,,,,,,,,,
24,0.043476659804582596,0,,,,,,,,,
25,0.02226751297712326,0,,,,,,,,,
26,0.009756505489349365,0,,,,,,,,,
27,0.02533898875117302,0,,,,,,,,,
28,0.011476097628474236,0,,,,,,,,,
29,0.003380248788744211,0,---,duration,'74',--,loan,'yes',++,contact,'cellular'
30,0.8712024688720703,1,+++,duration,'897',++,contact,'telephone',++,balance,'4189'
31,0.004766557365655899,0,,,,,,,,,
32,0.004497154150158167,0,,,,,,,,,
33,0.8421996235847473,1,+++,duration,'958',++,marital,'single',++,contact,'cellular'
34,0.36012908816337585,0,+++,duration,'354',++,housing,'no',++,balance,'1235'
35,0.010137716308236122,0,,,,,,,,,
36,0.8343201875686646,1,+++,month,'oct',++,marital,'divorced',++,age,'78'
37,0.08115632832050323,0,,,,,,,,,
38,0.6896923184394836,1,+++,duration,'765',++,balance,'3935',+,previous,'2'
39,0.003211623290553689,0,---,duration,'16',--,contact,'unknown',++,age,'23'
40,0.1341818869113922,0,,,,,,,,,
41,0.033577412366867065,0,,,,,,,,,
42,0.05458270385861397,0,,,,,,,,,
43,0.013358836062252522,0,,,,,,,,,
44,0.0060913581401109695,0,,,,,,,,,
45,0.004371280316263437,0,,,,,,,,,
46,0.0047052474692463875,0,,,,,,,,,
47,0.027873221784830093,0,,,,,,,,,
48,0.03410967066884041,0,,,,,,,,,
49,0.7745291590690613,1,+++,poutcome,'success',+++,pdays,'92',++,balance,'4629'
50,0.5398055911064148,1,+++,duration,'1018',--,contact,'unknown',++,marital,'divorced'
51,0.8266553282737732,1,+++,duration,'1740',++,marital,'single',+,contact,'cellular'
52,0.016067389398813248,0,,,,,,,,,
53,0.5849848389625549,1,+++,duration,'441',+++,month,'jun',++,pdays,'56'
54,0.036273907870054245,0,,,,,,,,,
55,0.012458344921469688,0,,,,,,,,,
56,0.02048715204000473,0,,,,,,,,,
57,0.1137385219335556,0,,,,,,,,,
58,0.009513266384601593,0,,,,,,,,,
59,0.08620847761631012,0,,,,,,,,,
60,0.10398256778717041,0,,,,,,,,,
61,0.20541363954544067,0,,,,,,,,,
62,0.06297853589057922,0,,,,,,,,,
63,0.024606747552752495,0,,,,,,,,,
64,0.13639208674430847,0,,,,,,,,,
65,0.0243435837328434,0,,,,,,,,,
66,0.02797917276620865,0,,,,,,,,,
67,0.014293168671429157,0,,,,,,,,,
68,0.08733128756284714,0,,,,,,,,,
69,0.025380443781614304,0,,,,,,,,,
70,0.6261243224143982,1,+++,poutcome,'success',++,pdays,'182',--,month,'jul'
71,0.026542693376541138,0,,,,,,,,,
72,0.004474856425076723,0,,,,,,,,,
73,0.00803596992045641,0,,,,,,,,,
74,0.010121522471308708,0,,,,,,,,,
75,0.007638644892722368,0,,,,,,,,,
76,0.0689198300242424,0,,,,,,,,,
77,0.006758410017937422,0,,,,,,,,,
78,0.36227473616600037,0,+++,duration,'701',---,month,'feb',++,marital,'divorced'
79,0.007856234908103943,0,,,,,,,,,
80,0.4649137556552887,0,+++,duration,'652',++,marital,'divorced',-,housing,'yes'
81,0.003244473598897457,0,---,duration,'63',--,month,'aug',-,marital,'married'
82,0.018969684839248657,0,,,,,,,,,
83,0.7626360654830933,1,+++,duration,'398',+++,pdays,'460',++,month,'jul'
84,0.3403623700141907,0,+++,month,'jun',+++,duration,'224',++,contact,'cellular'
85,0.03713930770754814,0,,,,,,,,,
86,0.0021238471381366253,0,---,duration,'60',--,month,'jul',--,loan,'yes'
87,0.0649707168340683,0,,,,,,,,,
88,0.07046329230070114,0,,,,,,,,,
89,0.007163833361119032,0,,,,,,,,,
90,0.015089585445821285,0,,,,,,,,,
91,0.03233472257852554,0,,,,,,,,,
92,0.12506622076034546,0,,,,,,,,,
93,0.05847661569714546,0,,,,,,,,,
94,0.03791072592139244,0,,,,,,,,,
95,0.1258431375026703,0,,,,,,,,,
96,0.009029649198055267,0,,,,,,,,,
97,0.21021616458892822,0,,,,,,,,,
98,0.8781605958938599,1,+++,poutcome,'success',++,pdays,'182',++,duration,'473'
99,0.3305424153804779,0,,,,,,,,,
100,0.008015788160264492,0,,,,,,,,,
101,0.20968592166900635,0,,,,,,,,,
102,0.07916197925806046,0,,,,,,,,,
103,0.0028043438214808702,0,---,duration,'65',--,month,'may',++,balance,'3777'
104,0.0021178689785301685,0,---,duration,'9',--,contact,'unknown',-,balance,'524'
105,0.15311375260353088,0,,,,,,,,,
106,0.026337433606386185,0,,,,,,,,,
107,0.07731683552265167,0,,,,,,,,,
108,0.306014746427536,0,,,,,,,,,
109,0.09634320437908173,0,,,,,,,,,
110,0.9271053671836853,1,+++,poutcome,'success',+++,duration,'258',++,month,'jun'
111,0.0036811120808124542,0,---,duration,'7',++,contact,'telephone',++,balance,'1517'
112,0.01179700531065464,0,,,,,,,,,
113,0.007118644658476114,0,,,,,,,,,
114,0.3468388319015503,0,+++,age,'25',++,job,'student',++,balance,'331'
115,0.6353943943977356,1,+++,age,'25',+++,duration,'386',++,housing,'no'
116,0.005167711526155472,0,,,,,,,,,
117,0.010358825325965881,0,,,,,,,,,
118,0.0028925554361194372,0,---,duration,'69',-,balance,'52',+,contact,'cellular'
119,0.14184771478176117,0,,,,,,,,,
120,0.27395862340927124,0,,,,,,,,,
121,0.008074791170656681,0,,,,,,,,,
122,0.002539364155381918,0,---,duration,'16',--,month,'may',--,contact,'unknown'
123,0.4180338382720947,0,+++,duration,'779',--,loan,'yes',--,marital,'married'
124,0.04693666845560074,0,,,,,,,,,
125,0.8549908995628357,1,+++,duration,'1877',++,marital,'single',+,contact,'cellular'
126,0.006335063837468624,0,,,,,,,,,
127,0.0025770612992346287,0,---,duration,'32',--,loan,'yes',--,month,'jul'
128,0.02413875050842762,0,,,,,,,,,
129,0.49728158116340637,0,+++,month,'apr',++,balance,'4659',++,age,'77'
130,0.014896782115101814,0,,,,,,,,,
131,0.0013897708849981427,0,---,duration,'24',--,month,'may',--,contact,'unknown'
132,0.0015848081093281507,0,---,duration,'67',--,contact,'unknown',++,balance,'-715'
133,0.005263006314635277,0,,,,,,,,,
134,0.009725356474518776,0,,,,,,,,,
135,0.06313873082399368,0,,,,,,,,,
136,0.0026397777255624533,0,---,duration,'54',++,previous,'2',--,month,'may'
137,0.008676842786371708,0,,,,,,,,,
138,0.16401182115077972,0,,,,,,,,,
139,0.0020191012881696224,0,---,duration,'39',--,contact,'unknown',++,age,'60'
140,0.03335993364453316,0,,,,,,,,,
141,0.19748850166797638,0,,,,,,,,,
142,0.008060756139457226,0,,,,,,,,,
143,0.021864693611860275,0,,,,,,,,,
144,0.005344226490706205,0,,,,,,,,,
145,0.1385508030653,0,,,,,,,,,
146,0.0016510157147422433,0,---,duration,'45',--,contact,'unknown',++,balance,'1906'
147,0.01398943830281496,0,,,,,,,,,
148,0.11037049442529678,0,,,,,,,,,
149,0.004410343710333109,0,,,,,,,,,
150,0.00550529919564724,0,,,,,,,,,
151,0.01070062629878521,0,,,,,,,,,
152,0.029122889041900635,0,,,,,,,,,
153,0.08714248239994049,0,,,,,,,,,
154,0.01899944245815277,0,,,,,,,,,
155,0.012870349921286106,0,,,,,,,,,
156,0.9799812436103821,1,+++,poutcome,'success',++,pdays,'90',++,month,'jun'
157,0.017039574682712555,0,,,,,,,,,
158,0.04003630578517914,0,,,,,,,,,
159,0.11264950037002563,0,,,,,,,,,
160,0.00774728087708354,0,,,,,,,,,
161,0.025075923651456833,0,,,,,,,,,
162,0.001223552506417036,0,---,duration,'35',--,contact,'unknown',--,month,'may'
163,0.0016462234780192375,0,---,duration,'82',--,month,'may',--,contact,'unknown'
164,0.8470003604888916,1,+++,duration,'676',+++,month,'oct',++,previous,'2'
165,0.19508522748947144,0,,,,,,,,,
166,0.07181904464960098,0,,,,,,,,,
167,0.24352069199085236,0,,,,,,,,,
168,0.00996327307075262,0,,,,,,,,,
169,0.04726199060678482,0,,,,,,,,,
170,0.007917468436062336,0,,,,,,,,,
171,0.10908864438533783,0,,,,,,,,,
172,0.12302525341510773,0,,,,,,,,,
173,0.0057861823588609695,0,,,,,,,,,
174,0.023433007299900055,0,,,,,,,,,
175,0.01656731776893139,0,,,,,,,,,
176,0.002088633133098483,0,---,duration,'18',--,loan,'yes',--,month,'jul'
177,0.011134050786495209,0,,,,,,,,,
178,0.0027744516264647245,0,---,duration,'63',--,contact,'unknown',++,balance,'1699'
179,0.0024145678617060184,0,---,duration,'65',--,pdays,'119',--,month,'nov'
180,0.02986316569149494,0,,,,,,,,,
181,0.01316432747989893,0,,,,,,,,,
