row_id,Partition,Cross-Validation Prediction,PredictedLabel
0,Holdout,0.05682096257805824,0
1,Holdout,0.01995687000453472,0
2,Holdout,0.03941797465085983,0
3,4.0,0.01276684831827879,0
4,0.0,0.014077809639275074,0
5,3.0,0.10195089131593704,0
6,1.0,0.031013812869787216,0
7,3.0,0.0158541239798069,0
8,3.0,0.0015498638385906816,0
9,0.0,0.07953604310750961,0
10,4.0,0.013399025425314903,0
11,0.0,0.025841256603598595,0
12,3.0,0.08990371227264404,0
13,0.0,0.39781519770622253,0
14,0.0,0.013638895004987717,0
15,Holdout,0.019527802243828773,0
16,4.0,0.0667053610086441,0
17,4.0,0.06239103898406029,0
18,2.0,0.029331177473068237,0
19,2.0,0.026778757572174072,0
20,Holdout,0.03680437058210373,0
21,0.0,0.030998896807432175,0
22,0.0,0.010394894517958164,0
23,2.0,0.005629766266793013,0
24,4.0,0.047688812017440796,0
25,1.0,0.012908061034977436,0
26,Holdout,0.009756505489349365,0
27,3.0,0.019885318353772163,0
28,Holdout,0.011476097628474236,0
29,Holdout,0.003380248788744211,0
30,3.0,0.8665539622306824,1
31,Holdout,0.004766557365655899,0
32,4.0,0.004387638997286558,0
33,3.0,0.7316595911979675,1
34,4.0,0.145677849650383,0
35,2.0,0.007856003940105438,0
36,3.0,0.3649376928806305,0
37,2.0,0.04167133942246437,0
38,1.0,0.33406099677085876,0
39,Holdout,0.003211623290553689,0
40,Holdout,0.1341818869113922,0
41,2.0,0.024270450696349144,0
42,2.0,0.06880787760019302,0
43,1.0,0.00906639639288187,0
44,Holdout,0.0060913581401109695,0
45,3.0,0.004835383500903845,0
46,3.0,0.0076036276295781136,0
47,Holdout,0.027873221784830093,0
48,4.0,0.0583113357424736,0
49,Holdout,0.7745291590690613,1
50,3.0,0.18000207841396332,0
51,Holdout,0.8266553282737732,1
52,4.0,0.02040105313062668,0
53,1.0,0.3163816034793854,0
54,Holdout,0.036273907870054245,0
55,1.0,0.010164907202124596,0
56,4.0,0.0190139040350914,0
57,0.0,0.0767386183142662,0
58,3.0,0.006700996309518814,0
59,3.0,0.0669901967048645,0
60,3.0,0.07271239906549454,0
61,3.0,0.4583013653755188,0
62,3.0,0.07627764344215393,0
63,4.0,0.023751037195324898,0
64,3.0,0.1276012808084488,0
65,4.0,0.020496781915426254,0
66,3.0,0.02399272844195366,0
67,1.0,0.01695028319954872,0
68,1.0,0.13129465281963348,0
69,Holdout,0.025380443781614304,0
70,3.0,0.25135740637779236,0
71,0.0,0.051562629640102386,0
72,3.0,0.005460074637085199,0
73,0.0,0.009949631989002228,0
74,Holdout,0.010121522471308708,0
75,3.0,0.009339313954114914,0
76,1.0,0.056498266756534576,0
77,0.0,0.016738737002015114,0
78,3.0,0.6116864681243896,1
79,1.0,0.012227019295096397,0
80,Holdout,0.4649137556552887,0
81,0.0,0.004570893011987209,0
82,2.0,0.026613933965563774,0
83,2.0,0.2016453593969345,0
84,Holdout,0.3403623700141907,0
85,0.0,0.014376253820955753,0
86,1.0,0.0023839205969125032,0
87,Holdout,0.0649707168340683,0
88,4.0,0.056818462908267975,0
89,2.0,0.0052512637339532375,0
90,Holdout,0.015089585445821285,0
91,0.0,0.028962930664420128,0
92,4.0,0.047007739543914795,0
93,Holdout,0.05847661569714546,0
94,Holdout,0.03791072592139244,0
95,3.0,0.4836551547050476,0
96,3.0,0.010011330246925354,0
97,0.0,0.2513590157032013,0
98,Holdout,0.8781605958938599,1
99,3.0,0.09509354829788208,0
100,4.0,0.00784662552177906,0
101,Holdout,0.20968592166900635,0
102,3.0,0.09080415964126587,0
103,Holdout,0.0028043438214808702,0
104,1.0,0.002211679005995393,0
105,0.0,0.1278558224439621,0
106,Holdout,0.026337433606386185,0
107,3.0,0.0689113661646843,0
108,4.0,0.07402636855840683,0
109,0.0,0.08245494961738586,0
110,1.0,0.9429221749305725,1
111,0.0,0.007971664890646935,0
112,2.0,0.013054094277322292,0
113,1.0,0.007954567670822144,0
114,4.0,0.018889304250478745,0
115,2.0,0.19223004579544067,0
116,1.0,0.005634153261780739,0
117,4.0,0.00787459034472704,0
118,0.0,0.002935865893959999,0
119,2.0,0.17695176601409912,0
120,3.0,0.3478073179721832,0
121,4.0,0.008152615278959274,0
122,3.0,0.002137733157724142,0
123,4.0,0.5013386607170105,1
124,0.0,0.030734525993466377,0
125,1.0,0.7986075282096863,1
126,4.0,0.01072098221629858,0
127,2.0,0.0029268194921314716,0
128,Holdout,0.02413875050842762,0
129,Holdout,0.49728158116340637,0
130,1.0,0.014533516019582748,0
131,3.0,0.0010391451651230454,0
132,2.0,0.0016906890086829662,0
133,Holdout,0.005263006314635277,0
134,3.0,0.007722807582467794,0
135,2.0,0.04793749004602432,0
136,Holdout,0.0026397777255624533,0
137,3.0,0.010721568949520588,0
138,Holdout,0.16401182115077972,0
139,4.0,0.0036330202128738165,0
140,1.0,0.032364532351493835,0
141,Holdout,0.19748850166797638,0
142,1.0,0.006505484227091074,0
143,2.0,0.02452388033270836,0
144,1.0,0.004763504955917597,0
145,2.0,0.18376371264457703,0
146,0.0,0.0025669813621789217,0
147,Holdout,0.01398943830281496,0
148,2.0,0.3035520911216736,0
149,2.0,0.002055079909041524,0
150,2.0,0.005183153785765171,0
151,2.0,0.020355066284537315,0
152,4.0,0.038124267011880875,0
153,1.0,0.07116285711526871,0
154,3.0,0.013050212524831295,0
155,Holdout,0.012870349921286106,0
156,1.0,0.9551320672035217,1
157,2.0,0.012662737630307674,0
158,1.0,0.0477542020380497,0
159,4.0,0.1471637487411499,0
160,4.0,0.008189287967979908,0
161,1.0,0.023722026497125626,0
162,3.0,0.001112145371735096,0
163,2.0,0.0020448188297450542,0
164,0.0,0.7039120197296143,1
