row_id,Partition,Cross-Validation Prediction,PredictedLabel
0,0.0,0.0029259490172235127,0
1,3.0,0.0023493186877556857,0
2,3.0,0.0007872634082673871,0
3,4.0,0.002343425510508155,0
4,Holdout,0.003628267254149431,0
5,2.0,0.0008954266696286503,0
6,2.0,0.004261802935205447,0
7,2.0,0.009568151752188558,0
8,0.0,0.0006051417348462119,0
9,0.0,0.0022395747058979003,0
10,4.0,0.006122981874266318,0
11,3.0,0.0023165297309977965,0
12,1.0,0.04716663402291363,0
13,Holdout,0.0011879185414484551,0
14,0.0,0.0010478931404006352,0
15,0.0,0.004171387780542145,0
16,3.0,0.0017506330645017949,0
17,2.0,0.001138510582947184,0
18,Holdout,0.002044929766184069,0
19,0.0,0.0007623583211569089,0
20,Holdout,0.0023723166596263715,0
21,3.0,0.0029470900390414514,0
22,1.0,0.001058268305353205,0
23,1.0,0.004020476888576982,0
24,Holdout,0.0008918663785120706,0
25,0.0,0.0015466962792865715,0
26,1.0,0.005083590688629097,0
27,3.0,0.001432662515117141,0
28,0.0,0.00159570766010405,0
29,Holdout,0.0032431587500790678,0
30,1.0,0.0076134798581514165,0
31,1.0,0.00284826978808859,0
32,Holdout,0.003028167562753469,0
33,2.0,0.002754975192016125,0
34,Holdout,0.0052884004863977515,0
35,3.0,0.001980091430274357,0
36,1.0,0.006613052887413543,0
37,2.0,0.5331017120626115,1
38,3.0,0.11421653056870398,0
39,2.0,0.001585240099468226,0
40,2.0,0.003154132828741875,0
41,Holdout,0.0010526101467485873,0
42,3.0,0.0014395014257486745,0
43,2.0,0.35210976520870263,0
44,0.0,0.11123197759459222,0
45,Holdout,0.002180033738012487,0
46,1.0,0.006981140161723697,0
47,0.0,0.0013610879292550067,0
48,2.0,0.004365059194428429,0
49,3.0,0.005918401085390451,0
50,2.0,0.0022223563730861453,0
51,0.0,0.002194686130562866,0
52,4.0,0.0017850993535852924,0
53,Holdout,0.16799609029100673,0
54,1.0,0.0010932482479208837,0
55,Holdout,0.003259057969658216,0
56,1.0,0.0010442087163569235,0
57,Holdout,0.0007719136543378911,0
58,3.0,0.0014306361603068651,0
59,4.0,0.2620346553116754,0
60,Holdout,0.0014894029168730993,0
61,1.0,0.27711387507597496,0
62,4.0,0.0015850491656816423,0
63,4.0,0.015272166781528365,0
64,Holdout,0.0035532226415605373,0
65,4.0,0.001473501066527744,0
66,1.0,0.13418315820263826,0
67,Holdout,0.003393725063391674,0
68,3.0,0.0012750163460988001,0
69,4.0,0.004424982761410052,0
70,Holdout,0.0016587585650701944,0
71,Holdout,0.0013069931679459104,0
72,2.0,0.0016749966855430052,0
73,1.0,0.0016013976137357168,0
74,2.0,0.005159784103083447,0
75,2.0,0.0017380648131089828,0
76,3.0,0.006660076659589794,0
77,0.0,0.01287375010729556,0
78,4.0,0.00243302875389223,0
79,4.0,0.0035470535281687888,0
80,3.0,0.0022233023419326895,0
81,4.0,0.0056398168670913195,0
